测试项目,测试结果
TCP STREAM,0.31
TCP STREAM,19.29
TCP STREAM,34.05
TCP STREAM,55.68
TCP STREAM,87.81
TCP STREAM,143.09
TCP STREAM,172.20
TCP STREAM,231.84
TCP STREAM,503.50
TCP STREAM,682.53
TCP STREAM,802.42
TCP STREAM,711.28
TCP STREAM,738.58
UDP STREAM,0.12
UDP STREAM,7.38
UDP STREAM,15.20
UDP STREAM,30.13
UDP STREAM,59.97
UDP STREAM,119.00
UDP STREAM,132.26
UDP STREAM,179.85
UDP STREAM,299.44
UDP STREAM,389.76
UDP STREAM,479.16
UDP STREAM,566.07
TCP REQUEST/RESPONSE,2041.68
TCP Connect/Request/Response,726.03
UDP REQUEST/RESPONSE,1890.80
